LB,UB
53,55
103,117
120,123
133,183
216,257
258,261
274,291
380,396
414,416
431,472
489,528
544,561
574,589
680,709
715,752
770,811
829,845
859,874
964,994
1000,1040
1058,1093
1109,1126
1139,1154
1245,1274
1280,1315
1331,1366
1382,1399
1412,1427
1517,1547
1553,1582
1600,1623
1639,1656
1670,1685
1775,1805
1811,1829
1847,1903
1905,1906
1935,1956
2044,2065
2080,2131
2147,2184
2201,2214
2302,2316
2353,2391
2408,2443
2458,2461
