LB,UB
49,52
100,113
116,119
129,168
200,245
247,250
263,280
368,385
402,405
419,460
478,512
513,518
536,553
566,581
672,702
707,746
762,803
821,838
851,866
956,986
992,1033
1051,1087
1105,1122
1135,1150
1241,1271
1276,1309
1327,1364
1382,1399
1412,1427
1517,1548
1553,1587
1621,1637
1651,1666
1756,1786
1792,1810
1828,1884
1886,1888
1917,1937
2026,2046
2061,2112
2128,2165
2182,2195
2284,2297
2334,2369
2386,2420
2436,2438
