LB,UB
53,55
103,120
133,183
216,261
274,291
380,396
414,416
431,474
489,530
548,565
578,593
684,713
719,756
774,809
811,816
832,849
862,877
968,997
1004,1042
1058,1095
1113,1130
1143,1158
1248,1278
1284,1316
1331,1367
1382,1399
1412,1427
1517,1547
1553,1585
1617,1634
1647,1662
1752,1782
1788,1806
1824,1880
1882,1884
1913,1933
2022,2042
2057,2108
2124,2162
2178,2191
2280,2293
2330,2368
2386,2420
2436,2438
