LB,UB
54,58
104,121
134,185
217,263
276,292
381,398
415,417
432,474
491,529
545,562
575,590
681,711
717,754
771,814
830,847
860,875
965,995
1001,1040
1056,1092
1110,1127
1141,1155
1246,1276
1281,1315
1333,1369
1383,1400
1413,1429
1519,1549
1554,1587
1606,1624
1634,1650
1664,1679
1769,1799
1805,1823
1841,1897
1898,1900
1929,1950
2038,2059
2074,2124
2140,2174
2191,2204
2293,2306
2343,2381
2399,2433
2448,2451
