LB,UB
52,55
102,119
133,183
215,257
258,261
274,290
380,396
413,415
431,472
489,522
548,564
578,592
683,712
719,754
770,803
808,809
828,845
858,873
964,993
1000,1039
1054,1090
1109,1125
1139,1148
1249,1274
1280,1313
1331,1367
1382,1398
1412,1427
1517,1547
1552,1585
1620,1637
1644,1646
1650,1666
1756,1786
1791,1809
1827,1883
1885,1887
1916,1937
2025,2046
2061,2111
2127,2161
2178,2191
2279,2292
2330,2367
2385,2419
2435,2437
