LB,UB
51,54
101,118
132,182
215,243
250,251
261,263
277,293
383,398
416,418
434,476
492,525
527,531
551,567
581,595
687,715
722,758
776,806
835,851
865,879
972,1000
1007,1044
1061,1096
1115,1132
1146,1158
1251,1281
1286,1318
1334,1368
1385,1401
1415,1430
1520,1550
1555,1588
1623,1640
1653,1668
1759,1789
1794,1813
1830,1886
1888,1890
1919,1940
2028,2049
2064,2114
2130,2168
2185,2198
2286,2299
2337,2372
2388,2422
2438,2440
