LB,UB
54,57
104,121
135,185
217,262
264,267
280,296
385,402
419,421
436,478
495,535
553,570
583,598
689,719
724,763
779,822
838,854
868,883
973,1003
1009,1050
1068,1103
1118,1135
1149,1163
1254,1284
1289,1323
1341,1376
1391,1408
1421,1437
1527,1557
1562,1590
1606,1628
1645,1662
1675,1690
1781,1811
1816,1835
1852,1908
1910,1912
1941,1962
2050,2071
2086,2136
2152,2189
2207,2220
2308,2321
2359,2396
2414,2448
2464,2466
