LB,UB
54,57
104,121
134,185
217,262
276,292
381,398
415,417
432,474
491,531
549,566
579,594
685,715
720,760
775,811
812,818
834,850
864,879
969,999
1005,1047
1063,1100
1110,1127
1140,1155
1246,1276
1281,1315
1333,1368
1383,1400
1413,1428
1519,1549
1554,1586
1618,1635
1648,1663
1754,1784
1789,1808
1825,1881
1910,1931
2019,2040
2055,2105
2121,2159
2176,2189
2277,2290
2328,2366
2383,2419
2433,2435
