LB,UB
52,54
102,119
132,178
211,239
245,247
250,252
270,286
376,391
409,410
427,466
481,514
516,521
539,556
569,584
675,704
710,750
769,803
804,810
828,844
858,873
963,993
999,1040
1057,1092
1108,1125
1138,1153
1244,1273
1279,1314
1330,1362
1377,1394
1407,1422
1513,1543
1548,1581
1616,1633
1646,1661
1751,1781
1787,1807
1823,1879
1908,1929
2017,2037
2053,2101
2119,2158
2174,2187
2275,2288
2326,2364
2381,2416
2431,2433
