LB,UB
47,50
97,114
127,175
206,234
249,251
266,281
371,386
404,407
422,464
480,518
535,551
565,580
670,700
706,745
761,796
797,803
819,836
849,864
954,984
990,1020
1037,1071
1088,1105
1118,1132
1225,1254
1259,1294
1310,1345
1361,1378
1391,1406
1496,1527
1532,1563
1596,1613
1626,1641
1731,1761
1767,1781
1799,1855
1884,1905
1993,2014
2029,2078
2095,2129
2146,2159
2247,2261
2298,2337
2353,2387
2403,2406
