LB,UB
77,107
113,152
168,208
226,243
256,271
362,392
397,438
456,492
507,523
537,550
644,672
678,713
729,765
784,800
814,829
919,949
954,987
1015,1037
1038,1039
1041,1044
1045,1060
1150,1180
1186,1203
1222,1282
1311,1331
1420,1440
1455,1506
1522,1559
1576,1589
1678,1691
1728,1765
1783,1817
1834,1836
