LB,UB
159,162
210,221
227,229
239,287
319,347
358,359
365,367
381,397
486,502
520,522
538,584
600,632
633,638
655,671
684,700
790,820
826,865
881,914
915,921
939,956
969,984
1074,1104
1110,1151
1169,1204
1219,1236
1250,1264
1355,1385
1390,1425
1442,1476
1492,1509
1523,1538
1628,1658
1663,1695
1727,1744
1757,1773
1863,1893
1898,1914
1931,1986
2019,2040
2128,2149
2164,2214
2231,2268
2285,2298
2386,2400
2437,2474
