LB,UB
259,262
310,321
327,329
339,388
418,462
481,497
586,602
620,622
637,680
696,734
750,767
780,795
886,916
921,959
976,1009
1011,1016
1031,1048
1061,1075
1166,1196
1202,1240
1257,1292
1308,1324
1338,1352
1444,1473
1479,1513
1530,1563
1581,1597
1611,1626
1716,1746
1751,1782
1815,1832
1846,1861
1951,1981
1987,2002
2019,2075
2108,2128
2217,2237
2252,2303
2319,2355
2373,2386
2475,2488
2525,2562
2580,2615
2630,2633
